event,ideology,text
White House Afghanistan Report Says Trump 'Severely Constrained' Withdrawal Options,conservative,"The White House on Thursday released its review of President Biden's fumbled withdrawal from Afghanistan in 2021, dropping the long-awaited report days before the Easter holiday while former President Donald Trump's indictment dominates headlines.
In a 12-page outline, Biden officials defend the president's decision to withdraw, calling his decision to end the two decades-long war ""the right thing for the country."" The report does not appear to acknowledge any mistakes made by Biden. However, the document repeatedly criticizes the Trump administration for constraining the conditions of American evacuation, during which 13 American..."
DHS Reportedly Steps Up Counter-Disinformation Efforts,liberal,"THE DEPARTMENT OF HOMELAND SECURITY is quietly broadening its efforts to curb speech it considers dangerous, an investigation by The Intercept has found. Years of internal DHS memos, emails, and documents — obtained via leaks and an ongoing lawsuit, as well as public documents — illustrate an expansive effort by the agency to influence tech platforms.
The work, much of which remains unknown to the American public, came into clearer view earlier this year when DHS announced a new “Disinformation Governance Board”: a panel designed to police misinformation (false information spread unintentionally),..."
DHS Reportedly Steps Up Counter-Disinformation Efforts,center,"Earlier this year, the Department of Homeland Security (DHS) created an internal board dedicated to combating misinformation and disinformation. Despite scrapping it after facing criticism, new reporting indicates that the agency is still pursuing the constitutionally dubious project.
The DHS announced the Disinformation Governance Board in April specifically to address Russian disinformation and false information spread by border traffickers. Nina Jankowicz, a Wilson Center fellow and ""disinformation expert,"" was put in charge.
The board immediately garnered controversy, both for its ""Orwellian"" overtones as well as Jankowicz's then-recent statements decrying ""free speech absolutists"" and advocating for more..."
DHS Reportedly Steps Up Counter-Disinformation Efforts,conservative,"A handful of President Joe Biden's most important federal agencies are stepping up efforts to monitor and counteract ""disinformation"" on social media platforms, even in the face of criticism that the administration is attempting to silence conservative or opposing viewpoints.
The actions by the federal agencies come as Missouri and Louisiana are pursuing legal action against Biden, former White House press secretary Jen Psaki, Dr. Anthony Fauci and other top administration officials. The two states say these officials ""pressured and colluded"" with Big Tech social media companies to censor and..."
"Did DEI Play a Role in the DC Plane Crash, as Trump Suggested?",liberal,"In a Thursday press conference addressing the plane-helicopter collision that killed 67 people near Ronald Reagan National Airport, President Donald Trump made an array of statements about past and present federal policy for air traffic controllers.
He at one point said the crash ""could have been"" the result of diversity hiring initiatives, and he claimed air traffic controllers are allowed to work with serious health issues and disabilities.
Here's what the USA TODAY Fact Check Team found on how Trump's statements compare to Federal Aviation Administration standards and past changes."
"Did DEI Play a Role in the DC Plane Crash, as Trump Suggested?",center,"President Donald Trump attacked the Federal Aviation Administration’s diversity, equity and inclusion policies at a press conference following a fatal collision between an American Airlines plane and an army helicopter, though he did not provide evidence DEI was related to the crash, and these policies have existed for years—including during his first term.
Trump quoted the FAA’s now-deleted diversity, equity and inclusion page in a press conference, stating the FAA had committed to hiring people with “severe” disabilities because they are the “most under-represented segment” of the workforce, including those..."
"Did DEI Play a Role in the DC Plane Crash, as Trump Suggested?",conservative,"There seemed to be two President Donald Trumps in the immediate aftermath of the deadly collision between an American Airlines airplane and Army Black Hawk helicopter over Washington.
The crash, which occurred over the Potomac River as the plane tried to land at Ronald Reagan Washington National Airport and the helicopter was conducting a training mission, presents the first test of Trump’s nascent second administration after a record of uneven responses to tragedy during his first term.
As 67 families learned their loved ones, including 60 airline passengers, four crew members, and three military personnel, were victims..."
TSA Reports Record Number of Guns Confiscated from Airline Passengers in 2022,liberal,"Transportation Security Administration officers confiscated more than 6,542 firearms from airport passengers in 2022 — the highest number recorded since the agency's inception. Of those guns taken at airport security checkpoints, 88% were loaded, the agency announced Tuesday.
The confiscations by TSA mark a nearly 10% increase over the 5,972 firearms seized in 2021, which was also a record.
The agency announced in December that it was raising the maximum civil penalty for a firearms violation from $13,910 to $14,950.
These were the airports with the largest number of guns confiscated..."
TSA Reports Record Number of Guns Confiscated from Airline Passengers in 2022,center,"The Transportation Security Administration announced Tuesday that travel returned to pre-pandemic levels, with around 2 million passengers screened a day, but 2022 also set a new record for firearm interceptions.
The agency reported that it confiscated 6,542 firearms in 2022, 88% of which were loaded, at security checkpoints. That’s an increase of more than 500 firearms in 2021, which saw a record of 5,972 firearms.
“I am incredibly proud of our dedicated TSA employees who perform the critical task of securing our nation’s transportation systems each day,” said TSA Administrator David Pekoske...."
TSA Reports Record Number of Guns Confiscated from Airline Passengers in 2022,conservative,"The U.S. Transportation Security Administration announced today that, in 2022, it detected a record 6,542 firearms in carry-on bags or on passengers at checkpoints. That’s a sizeable jump from the 5,972 detected in 2021 and a spike compared with the 4,432 detected in 2019. Of the guns caught in 2022, approximately 88 percent were loaded. Firearms were caught at 262 airport checkpoints nationwide.
The Wall Street Journal’s write-up includes these eye-opening anecdotes:
At security checkpoints this year, the agency has found firearms in some peculiar vessels. In September, TSA found a gun stuffed into a whole..."
Conflicting Reports on Release of New CDC Guidelines,liberal,"As President Trump rushes to reopen the economy, a battle has erupted between the White House and the Centers for Disease Control and Prevention over the agency’s detailed guidelines to help schools, restaurants, churches and other establishments safely reopen.
A copy of the C.D.C. guidance obtained by The New York Times includes sections for child care programs, schools and day camps, churches and other “communities of faith,” employers with vulnerable workers, restaurants and bars, and mass transit administrators. The recommendations include using disposable dishes and utensils at restaurants, closing every..."
Conflicting Reports on Release of New CDC Guidelines,center,"The Trump administration rejected guidelines proposed by the Centers for Disease Control and Prevention (CDC) on how to take public health precautions to safely reopen the economy, according to The New York Times.
The guidelines drafted were meant to instruct how schools, restaurants, churches and other establishments can safely reopen.
They include using disposable dishes and utensils at restaurants, closing every other row of seats in buses and trains while restricting transit routes to areas experiencing high levels of coronavirus infection.
They also recommend separating children at school and camps..."
Conflicting Reports on Release of New CDC Guidelines,conservative,"Officials on the White House coronavirus task force and senior Trump administration officials are pushing back on an Associated Press article published Thursday accusing the White House of shelving new reopening guidelines from the Centers for Disease Control and Protection (CDC).
Officials told the Daily Caller that the guidelines in question, a 17-page document, were not cleared for public dissemination by CDC leadership, but are still being provided to states requesting assistance in reopening.
The AP’s story, titled “Admin shelves CDC guide to reopening country,” did concede that states had..."
"July 4 Was World’s Hottest Day on Record, Early Data Shows",liberal,"This week saw the hottest global temperature ever recorded, according to data from the US National Centers for Environmental Prediction.
On Monday, the average global temperature reached 17.01 degrees Celsius (62.62 Fahrenheit), the highest since records began. On Tuesday, it climbed even further, to reach 17.18 degrees Celsius. The previous record of 16.92 degrees Celsius was set in August 2016.
Experts warn that the record could be broken several more times this year. Robert Rohde, lead scientist at Berkeley Earth, said in a Twitter post on Tuesday that the world “may well see a few even..."
"July 4 Was World’s Hottest Day on Record, Early Data Shows",center,"The world’s average temperature climbed to its highest level since records began on Tuesday, according to provisional data from U.S. researchers, underscoring the pressing need to slash greenhouse gas emissions fueling the climate emergency.
The planet’s average daily temperature climbed to 17.18 degrees Celsius on Tuesday, according to the University of Maine’s Climate Reanalyzer, an unofficial tool that is often used by climate scientists as a reference to the world’s condition.
The milestone comes just one day after global average temperatures topped 17 degrees Celsius for the first time in 44 years,..."
"July 4 Was World’s Hottest Day on Record, Early Data Shows",conservative,"Monday, July 3, was the world's hottest day recorded, according to data from the National Centers for Environmental Prediction.
The average global temperature reached 62.62 degrees Fahrenheit, according to HuffPost, surpassing the August 2016 record of 62.46 Fahrenheit.
In the United States, the South has faced a severe heat wave over the past few weeks, and in China, a lasting heat has carried temperatures over 95 degrees Fahrenheit, with North Africa seeing temperatures near 122 degrees Fahrenheit.
Scientists also said this past month was the world's warmest June recorded, chalking the recent heat up to a combination of a..."
Google Restricts Gemini AI From Answering Election-Related Queries,liberal,"Google is restricting its Gemini AI chatbot from answering election-related questions in countries where voting is taking place this year, limiting users from receiving information about candidates, political parties and other elements of politics.
“Out of an abundance of caution on such an important topic, we have begun to roll out restrictions on the types of election-related queries for which Gemini will return responses,” Google’s India team stated on the company’s site.
‘We definitely messed up’: why did Google AI tool make offensive historical images?
The company initially announced its..."
Google Restricts Gemini AI From Answering Election-Related Queries,center,"Google is restricting AI chatbot Gemini from answering questions about the global elections set to happen this year, the Alphabet-owned firm (GOOGL.O), opens new tab said on Tuesday, as it looks to avoid potential missteps in the deployment of the technology.
The update comes at a time when advancements in generative AI, including image and video generation, have fanned concerns of misinformation and fake news among the public, prompting governments to regulate the technology.
When asked about elections such as the upcoming U.S. presidential match-up between Joe Biden and Donald Trump, Gemini responds with..."
Google Restricts Gemini AI From Answering Election-Related Queries,conservative,"Google announced Tuesday it will be restricting its new artificial intelligence chatbot Gemini from answering election-related questions globally.
“Out of an abundance of caution on such an important topic, we have begun to roll out restrictions on the types of election-related queries for which Gemini will return responses,” the company wrote in a blog post on Tuesday.
The announcement isn’t just prompted by concerns in the United States but also extends to international apprehensions over how AI could affect foreign elections taking place this year in over 50 countries. The company added that it has already..."
CDC Announces Organizational Changes After Not Meeting 'Expectations' During Pandemic,liberal,"The nation’s top public health official acknowledged Wednesday that the Centers for Disease Control and Prevention had failed to respond effectively to the coronavirus pandemic, and committed to extensive changes, including faster release of scientific findings and easier-to-understand guidance.
CDC Director Rochelle Walensky told senior leaders that she had embraced a long-awaited revamp of CDC culture based on an internal review that called for a more nimble and better-trained workforce and changing incentives to reward action over publication, among other things.
“For 75 years, CDC and public health have been..."
CDC Announces Organizational Changes After Not Meeting 'Expectations' During Pandemic,center,"Rochelle Walensky, the director of the Centers for Disease Control and Prevention, announced Wednesday she will make major modifications to the agency’s structure, including staffing changes and efforts to improve public messaging, after she said the agency failed to adequately respond to the Covid-19 pandemic, according to multiple outlets.
In a video sent to staff Wednesday morning, Walensky admitted the agency had made “pretty dramatic, pretty public mistakes” related to testing, data and communications in response to the coronavirus pandemic, according to Bloomberg, which cited an anonymous source who viewed the video.
The..."
CDC Announces Organizational Changes After Not Meeting 'Expectations' During Pandemic,conservative,"The director of the U.S. Centers for Disease Control and Prevention (CDC) on Aug. 17 announced that the agency would be revamped, after a review found it did not adequately respond to the COVID-19 pandemic.
Dr. Rochelle Walensky, the director, informed the approximately 13,000 CDC employees of the planned changes, which include reorganizing the agency in an attempt to make quicker decisions, be more accountable, and improve communication.
The changes are spurred by a review that started in April, which found the agency’s “traditional scientific and communication processes were not adequate to effectively respond to..."
DOJ Says Classified Documents at Mar-a-Lago 'Likely Concealed and Removed’,liberal,"WASHINGTON — The Justice Department said Tuesday night that it had evidence classified documents at former President Donald Trump's Mar-a-Lago estate were ""likely concealed and removed"" before the FBI search to retrieve them.
In its late-night court filing, the Justice Department said that Trump's request to appoint a special master to review the documents “is unnecessary and would significantly harm important governmental interests, including national security interests.”
Some of the documents were so sensitive and classified that FBI agents and Justice Department attorneys needed additional security clearances to review them after the raid earlier this month.
The department..."
DOJ Says Classified Documents at Mar-a-Lago 'Likely Concealed and Removed’,center,"Federal agents searched former President Trump’s Mar-a-Lago estate after developing evidence that government records were “likely concealed and removed” in defiance of a grand jury subpoena, according to Department of Justice (DOJ) court documents filed late Tuesday evening.
The filing details the chronology of federal officials’ monthslong attempt to recover presidential records and classified documents from Trump’s Florida home, casting doubt on the former president’s team’s claims that a “diligent search” was conducted and all documents requested by the subpoena were returned.
Trump has claimed the search warrant of Mar-a-Lago was unnecessary since..."
DOJ Says Classified Documents at Mar-a-Lago 'Likely Concealed and Removed’,conservative,"The Justice Department pursued a search warrant for Mar-a-Lago because investigators suspected that former president Trump and his associates relocated and hid highly classified records, despite claiming that they returned such privileged information to the government, a Tuesday court filing from the department reveals.
The filing came amid Trump’s petition for a special master to conduct an independent review of materials seized from his residence, a motion which a judge said that she has “preliminary intent” to grant but which the DOJ opposes, citing potential injury to national security interests.
Taking inventory of the confiscated materials,..."
Former Biden Family Business Associate Says Joe Biden Was 'The Family Business',liberal,"Earlier this month, House Oversight Committee Chair James Comer told Lindell TV’s Lou Dobbs Tonight that Tony Bobulinski, a former business associate of Hunter Biden, is “the one solid guy that tried to do the right thing and was honest.” Last Friday, Comer once again praised the businessman on Newsmax, calling him the only “honest guy that appears to have been temporarily in the Biden orbit.”
But Bobulinski, who testified on Capitol Hill Tuesday morning as part of the impeachment inquiry against the president, doesn’t appear to be as squeaky clean as Comer says. Bobulinski’s overt..."
Former Biden Family Business Associate Says Joe Biden Was 'The Family Business',center,"A onetime business associate — and now critic — of Hunter Biden, Tony Bobulinski, testified behind closed doors before the House Oversight Committee on Tuesday.
Bobulinski gave bombshell testimony, saying the Biden family business was President Joe Biden. He claimed the president was an “enabler” in his son’s business dealings while making millions of dollars and allowing foreign associates access to the then-former vice president.
“Tony Bobulinski articulated under oath that Joe Biden was ‘the brand’ the Bidens sold to enrich the family. Joe Biden not only knew about his family’s dealings with a Chinese Communist..."
Former Biden Family Business Associate Says Joe Biden Was 'The Family Business',conservative,"A former Biden family business partner scorched President Biden in an explosive opening statement at a House impeachment inquiry deposition Tuesday, saying the commander-in-chief is corrupt and that his testimony will help prove it.
“The Biden family business was Joe Biden, period,” said Tony Bobulinski, a former Navy officer who worked alongside first son Hunter Biden and first brother James Biden on a venture with CEFC China Energy.
Bobulinski alleges he spoke twice with Joe Biden in May 2017 about the Chinese government-linked company — shortly after Biden left office as vice president...."
House GOP Criticizes Biden Admin in Long-Awaited Afghanistan Report,liberal,"The House Foreign Affairs Committee announced Sunday the release of its sweeping 354-page report on the chaotic 2021 withdrawal of U.S. troops from Afghanistan on Sunday evening, culminating the panel's three year investigation.
Why it matters: The report from the Republican-led panel takes aim at the Biden administration's actions, arguing that its hesitation to evacuate noncombatants despite warnings put Americans in peril.
""Our investigation reveals the Biden-Harris administration had the information and opportunity to take necessary steps to plan for the inevitable collapse of the Afghan government, so we could safely evacuate U.S. personnel, American..."
House GOP Criticizes Biden Admin in Long-Awaited Afghanistan Report,center,"A long-awaited GOP report analyzing the U.S. withdrawal from Afghanistan paints a picture of a President Biden determined to leave the country but fumbling preparations that set the stage for a chaotic and deadly exit from America’s longest war.
The report from Republicans on the House Foreign Affairs Committee, released in the shadow of the three-year anniversary of the U.S. exit, criticizes the president for a rushed effort undertaken regardless of counsel from allies and advisers that led to unnecessary deaths.
“The evidence proves President Biden’s decision to withdraw all U.S. troops was..."
House GOP Criticizes Biden Admin in Long-Awaited Afghanistan Report,conservative,"House Republicans on Sunday issued a scathing report on their investigation into the U.S. withdrawal from Afghanistan, blaming the disastrous end of America's longest war on President Joe Biden's administration and minimizing the role of former President Donald Trump, who had signed the withdrawal deal with the Taliban.
The partisan review lays out the final months of military and civilian failures, following Trump's February 2020 withdrawal deal, that allowed America's fundamentalist Taliban enemy to sweep through and conquer all of the country even before the last U.S. officials flew out..."
US National Debt Tops $31 Trillion for First Time,liberal,"America’s national debt has climbed north of $31 trillion for the first time, a milestone that comes at a time of historically high inflation, rising interest rates and growing economic uncertainty.
The nation’s total public debt outstanding closed at $31.1 trillion on Monday, according to Treasury Department data published Tuesday.
The US government went on a borrowing spree during the Covid-19 pandemic to help shore up the nation’s economy as the deadly virus upended lives, labor markets and supply chains. Outstanding debt has climbed nearly $8 trillion since the beginning of 2020. And..."
US National Debt Tops $31 Trillion for First Time,center,"America’s gross national debt has surpassed $31 trillion for the first time.
The figure was revealed in a Treasury Department report released Tuesday and comes at a time when the economy faces inflation and higher interest rates. During the COVID-19 pandemic, the government borrowed more money to support the economy as lockdowns disrupted labor markets and supply chains.
The costs of borrowing remain higher, and with economists warning of an impending recession, the milestone comes at an inopportune and volatile moment. A Wall Street sell-off from all-time highs in January has been..."
US National Debt Tops $31 Trillion for First Time,conservative,"The national debt of the United States blew past $31 trillion for the first time ever Tuesday, a grim milestone that comes amid soaring interest rates that threaten to strain the government's finances.
It comes just nine months after the last milestone of $30 trillion, according to the Committee for a Responsible Federal Budget, and only five years after reaching $20 trillion. The unprecedented spree of government borrowing brought forth by the COVID-19 pandemic, and further borrowing to stimulate the economy, has helped to contribute to the majority of this figure.
""This is a new record no..."
